id;name;brand_id
100;ABARTH 124;10
10100;695 BIPOSTO;10
10200;500C;10
10300;500;10
200;STELVIO;20
20100;SPIDER;20
20200;RZ V6;20
20300;MITO;20
20400;GUILIETTA;20
20500;GTV V6;20
20600;GIULIETTA QV;20
20700;GIULIA;20
20800;BRERA;20
20900;ALFETTA GTV6;20
201000;ALFASUD;20
201100;90;20
201200;75;20
201300;4C;20
201400;33 S;20
201500;3,2;20
201600;1750;20
201700;166;20
201800;164;20
201900;159;20
202000;156;20
202100;155;20
202200;147;20
300;D5 BITURBO;30
30100;D3;30
30200;C2;30
30300;BITURBO;30
30400;B9 3,5L;30
30500;B7;30
30600;B6S 3,5L;30
30700;B6;30
30800;B5S V8;30
30900;B5;30
301000;B3;30
301100;B12 V12;30
301200;B10;30
400;TT-RS;40
40100;TT;40
40200;SQ7 Tdi;40
40300;SQ5;40
40400;SPORT QUATTRO;40
40500;S8;40
40600;S7 V8TT;40
40700;S6;40
40800;S5;40
40900;S4;40
401000;S3;40
401100;S2 COUPE;40
401200;S1;40
401300;RSQ3;40
401400;RS7;40
401500;RS6;40
401600;RS5;40
401700;RS4;40
401800;RS3;40
401900;RS2 AVANT;40
402000;R8;40
402100;QUATTRO TURBO;40
402200;Q8 50;40
402300;Q7;40
402400;CABRIOLET 2,8;40
402500;A8;40
402600;A7 SPORTBACK;40
402700;A6;40
402800;A5 II;40
402900;A4;40
403000;A3;40
403100;A1;40
403200;90;40
403300;80;40
403400;200;40
600;XSARA VTS;60
60100;VISA;60
60200;V6;60
60300;SAXO 1,6;60
60400;CX GTI;60
60500;C6 V6;60
60600;C5;60
60700;C4;60
60800;C2 VTS;60
60900;BX;60
601000;AX;60
700;DS5;70
70100;DS4;70
70200;DS3;70
800;SportKA 1,6L;80
80100;SMAX;80
80200;SIERRA;80
80300;PUMA;80
80400;PROBE;80
80500;MUSTANG;80
80600;MONDEO;80
80700;GT 2005;80
80800;GALAXY 2,8i;80
80900;FOCUS;80
801000;FIESTA;80
801100;ESCORT;80
801200;EDGE 2,0;80
801300;COUGAR;80
801400;CAPRI;80
900;NSX-R;90
90100;NSX;90
90200;LEGEND V6;90
90300;INTEGRA;90
90400;CRX;90
90500;CR-Z 1,5;90
90600;CIVIC;90
90700;ACCORD;90
90800;;90
1000;VELOSTER;100
100100;SCOUPE;100
100200;GENESIS COUPE;100
100300;COUPE;100
1100;PRO CEE'D;110
110100;PICANTO;110
1200;EVORA;120
120100;EUROPA;120
120200;ESPRIT;120
120300;ELISE;120
120400;ELAN;120
120500;ECLAT;120
120600;3-11;120
120700;2-11;120
1300;RX8;130
130100;RX7;130
130200;MX6;130
130300;MX5;130
130400;MX3;130
130500;CX-7;130
130600;6;130
130700;323;130
130800;3;130
1400;V6;140
140100;PULSAR;140
140200;PRIMERA;140
140300;PATHFINDER;140
140400;LEAF;140
140500;JUKE;140
140600;GT-R;140
140700;ALMERA;140
140800;370Z;140
140900;350Z;140
1401000;350Z;140
1401100;300ZX;140
1401200;200SX;140
1401300;200 SX;140
1401400;100 NX;140
1500;VECTRA;150
150100;TIGRA;150
150200;SPEEDSTER;150
150300;OMEGA;150
150400;MONZA GSE;150
150500;MERIVA OPC;150
150600;LOTUS OMEGA;150
150700;KADETT;150
150800;INSIGNIA;150
150900;GT;150
1501000;CORSA;150
1501100;CALIBRA;150
1501200;ASTRA;150
1501300;ADAM S;150
1600;RCZ;160
160100;607;160
160200;605;160
160300;604;160
160400;508;160
160500;505;160
160600;504;160
160700;5008 II;160
160800;407;160
160900;406;160
1601000;405;160
1601100;309;160
1601200;308;160
1601400;306;160
1601500;3008;160
1601600;208;160
1601700;207;160
1601800;206;160
1601900;205;160
1602000;106;160
1602100;104;160
1700;VEL SATIS;170
170100;TWINGO;170
170200;TURBO;170
170300;TALISMAN 1,6;170
170400;SUPER 5;170
170500;SPIDER;170
170600;SAFRANE;170
170700;MEGANE;170
170701;MEGANE II;170
170702;MEGANE III;170
170703;MEGANE IV;170
170800;LAGUNA II;170
170801;LAGUNA III;170
170900;KOLEOS II;170
1701000;GRAND ESPACE;170
1701100;FUEGO TURBO;170
1701200;ESPACE;170
1701300;CLIO;170
1701301;CLIO II;170
1701302;CLIO III;170
1701400;AVANTIME;170
1701500;9;170
1701600;8;170
1701700;5;170
1701800;30;170
1701900;25;170
1702000;21;170
1702100;19;170
1800;LEON;180
1801;LEON 2;180
1802;LEON 3;180
1803;LEON 4;180
180100;IBIZA;180
180101;IBIZA 2;180
180102;IBIZA 3;180
180103;IBIZA 4;180
180104;IBIZA 5;180
1900;FORTWO;190
190100;FORFOUR;190
2000;IMPREZA;200
200100;BRZ;200
2200;MODEL S;220
2300;SUPRA;230
230100;PASEO;230
230200;MR;230
230300;LAND CRUISER;230
230400;GT86;230
230500;COROLLA;230
230600;CELICA;230
